,quanhuyen,tinhtp
0,Quận Ba Đình,Thành phố Hà Nội
1,Quận Hoàn Kiếm,Thành phố Hà Nội
2,Quận Tây Hồ,Thành phố Hà Nội
3,Quận Long Biên,Thành phố Hà Nội
4,Quận Cầu Giấy,Thành phố Hà Nội
5,Quận Đống Đa,Thành phố Hà Nội
6,Quận Hai Bà Trưng,Thành phố Hà Nội
7,Quận Hoàng Mai,Thành phố Hà Nội
8,Quận Thanh Xuân,Thành phố Hà Nội
9,Huyện Sóc Sơn,Thành phố Hà Nội
10,Huyện Đông Anh,Thành phố Hà Nội
11,Huyện Gia Lâm,Thành phố Hà Nội
12,Quận Nam Từ Liêm,Thành phố Hà Nội
13,Huyện Thanh Trì,Thành phố Hà Nội
14,Quận Bắc Từ Liêm,Thành phố Hà Nội
15,Thành phố Hà Giang,Tỉnh Hà Giang
16,Huyện Đồng Văn,Tỉnh Hà Giang
17,Huyện Mèo Vạc,Tỉnh Hà Giang
18,Huyện Yên Minh,Tỉnh Hà Giang
19,Huyện Quản Bạ,Tỉnh Hà Giang
20,Huyện Vị Xuyên,Tỉnh Hà Giang
21,Huyện Bắc Mê,Tỉnh Hà Giang
22,Huyện Hoàng Su Phì,Tỉnh Hà Giang
23,Huyện Xín Mần,Tỉnh Hà Giang
24,Huyện Bắc Quang,Tỉnh Hà Giang
25,Huyện Quang Bình,Tỉnh Hà Giang
26,Thành phố Cao Bằng,Tỉnh Cao Bằng
27,Huyện Bảo Lâm,Tỉnh Cao Bằng
28,Huyện Bảo Lạc,Tỉnh Cao Bằng
29,Huyện Thông Nông,Tỉnh Cao Bằng
30,Huyện Hà Quảng,Tỉnh Cao Bằng
31,Huyện Trà Lĩnh,Tỉnh Cao Bằng
32,Huyện Trùng Khánh,Tỉnh Cao Bằng
33,Huyện Hạ Lang,Tỉnh Cao Bằng
34,Huyện Quảng Uyên,Tỉnh Cao Bằng
35,Huyện Phục Hòa,Tỉnh Cao Bằng
36,Huyện Hòa An,Tỉnh Cao Bằng
37,Huyện Nguyên Bình,Tỉnh Cao Bằng
38,Huyện Thạch An,Tỉnh Cao Bằng
39,Thành phố Bắc Kạn,Tỉnh Bắc Kạn
40,Huyện Pác Nặm,Tỉnh Bắc Kạn
41,Huyện Ba Bể,Tỉnh Bắc Kạn
42,Huyện Ngân Sơn,Tỉnh Bắc Kạn
43,Huyện Bạch Thông,Tỉnh Bắc Kạn
44,Huyện Chợ Đồn,Tỉnh Bắc Kạn
45,Huyện Chợ Mới,Tỉnh Bắc Kạn
46,Huyện Na Rì,Tỉnh Bắc Kạn
47,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
48,Huyện Lâm Bình,Tỉnh Tuyên Quang
49,Huyện Nà Hang,Tỉnh Tuyên Quang
50,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
51,Huyện Hàm Yên,Tỉnh Tuyên Quang
52,Huyện Yên Sơn,Tỉnh Tuyên Quang
53,Huyện Sơn Dương,Tỉnh Tuyên Quang
54,Thành phố Lào Cai,Tỉnh Lào Cai
55,Huyện Bát Xát,Tỉnh Lào Cai
56,Huyện Mường Khương,Tỉnh Lào Cai
57,Huyện Si Ma Cai,Tỉnh Lào Cai
58,Huyện Bắc Hà,Tỉnh Lào Cai
59,Huyện Bảo Thắng,Tỉnh Lào Cai
60,Huyện Bảo Yên,Tỉnh Lào Cai
61,Huyện Sa Pa,Tỉnh Lào Cai
62,Huyện Văn Bàn,Tỉnh Lào Cai
63,Thành phố Điện Biên Phủ,Tỉnh Điện Biên
64,Thị xã Mường Lay,Tỉnh Điện Biên
65,Huyện Mường Nhé,Tỉnh Điện Biên
66,Huyện Mường Chà,Tỉnh Điện Biên
67,Huyện Tủa Chùa,Tỉnh Điện Biên
68,Huyện Tuần Giáo,Tỉnh Điện Biên
69,Huyện Điện Biên,Tỉnh Điện Biên
70,Huyện Điện Biên Đông,Tỉnh Điện Biên
71,Huyện Mường Ảng,Tỉnh Điện Biên
72,Huyện Nậm Pồ,Tỉnh Điện Biên
73,Thành phố Lai Châu,Tỉnh Lai Châu
74,Huyện Tam Đường,Tỉnh Lai Châu
75,Huyện Mường Tè,Tỉnh Lai Châu
76,Huyện Sìn Hồ,Tỉnh Lai Châu
77,Huyện Phong Thổ,Tỉnh Lai Châu
78,Huyện Than Uyên,Tỉnh Lai Châu
79,Huyện Tân Uyên,Tỉnh Lai Châu
80,Huyện Nậm Nhùn,Tỉnh Lai Châu
81,Thành phố Sơn La,Tỉnh Sơn La
82,Huyện Quỳnh Nhai,Tỉnh Sơn La
83,Huyện Thuận Châu,Tỉnh Sơn La
84,Huyện Mường La,Tỉnh Sơn La
85,Huyện Bắc Yên,Tỉnh Sơn La
86,Huyện Phù Yên,Tỉnh Sơn La
87,Huyện Mộc Châu,Tỉnh Sơn La
88,Huyện Yên Châu,Tỉnh Sơn La
89,Huyện Mai Sơn,Tỉnh Sơn La
90,Huyện Sông Mã,Tỉnh Sơn La
91,Huyện Sốp Cộp,Tỉnh Sơn La
92,Huyện Vân Hồ,Tỉnh Sơn La
93,Thành phố Yên Bái,Tỉnh Yên Bái
94,Thị xã Nghĩa Lộ,Tỉnh Yên Bái
95,Huyện Lục Yên,Tỉnh Yên Bái
96,Huyện Văn Yên,Tỉnh Yên Bái
97,Huyện Mù Căng Chải,Tỉnh Yên Bái
98,Huyện Trấn Yên,Tỉnh Yên Bái
99,Huyện Trạm Tấu,Tỉnh Yên Bái
100,Huyện Văn Chấn,Tỉnh Yên Bái
101,Huyện Yên Bình,Tỉnh Yên Bái
102,Thành phố Hòa Bình,Tỉnh Hòa Bình
103,Huyện Đà Bắc,Tỉnh Hòa Bình
104,Huyện Kỳ Sơn,Tỉnh Hòa Bình
105,Huyện Lương Sơn,Tỉnh Hòa Bình
106,Huyện Kim Bôi,Tỉnh Hòa Bình
107,Huyện Cao Phong,Tỉnh Hòa Bình
108,Huyện Tân Lạc,Tỉnh Hòa Bình
109,Huyện Mai Châu,Tỉnh Hòa Bình
110,Huyện Lạc Sơn,Tỉnh Hòa Bình
111,Huyện Yên Thủy,Tỉnh Hòa Bình
112,Huyện Lạc Thủy,Tỉnh Hòa Bình
113,Thành phố Thái Nguyên,Tỉnh Thái Nguyên
114,Thành phố Sông Công,Tỉnh Thái Nguyên
115,Huyện Định Hóa,Tỉnh Thái Nguyên
116,Huyện Phú Lương,Tỉnh Thái Nguyên
117,Huyện Đồng Hỷ,Tỉnh Thái Nguyên
118,Huyện Võ Nhai,Tỉnh Thái Nguyên
119,Huyện Đại Từ,Tỉnh Thái Nguyên
120,Thị xã Phổ Yên,Tỉnh Thái Nguyên
121,Huyện Phú Bình,Tỉnh Thái Nguyên
122,Thành phố Lạng Sơn,Tỉnh Lạng Sơn
123,Huyện Tràng Định,Tỉnh Lạng Sơn
124,Huyện Bình Gia,Tỉnh Lạng Sơn
125,Huyện Văn Lãng,Tỉnh Lạng Sơn
126,Huyện Cao Lộc,Tỉnh Lạng Sơn
127,Huyện Văn Quan,Tỉnh Lạng Sơn
128,Huyện Bắc Sơn,Tỉnh Lạng Sơn
129,Huyện Hữu Lũng,Tỉnh Lạng Sơn
130,Huyện Chi Lăng,Tỉnh Lạng Sơn
131,Huyện Lộc Bình,Tỉnh Lạng Sơn
132,Huyện Đình Lập,Tỉnh Lạng Sơn
133,Thành phố Hạ Long,Tỉnh Quảng Ninh
